"district","town","precinct","NA.1","NA","NA.3","NA.2","votes"
"","Grand Isle","South Hero",,"",15,"Write Ins",
"","Windsor","Springfield",,"",0,"Write Ins",
"","Windsor","Springfield",,"",45,"Write Ins",
"",,"Saint  Albans City",,"",39,"Write Ins",
"",,"Saint  Albans Town",,"",32,"Write Ins",
"",,"Saint  Albans Town",,"",31,"Write Ins",
"",,"Saint  George",,"",4,"Write Ins",
"",,"Saint  Johnsbury",,"",58,"Write Ins",
"","Bennington","Stamford",,"",1,"Write Ins",
"","Caledonia","Stannard",,"",1,"Write Ins",
"","Addison","Starksboro",,"",11,"Write Ins",
"","Windsor","Stockbridge",,"",5,"Write Ins",
"","Lamoille","Stowe",,"",51,"Write Ins",
"","Orange","Strafford",,"",8,"Write Ins",
"","Windham","Stratton",,"",2,"Write Ins",
"","Rutland","Sudbury",,"",4,"Write Ins",
"","Bennington","Sunderland",,"",0,"Write Ins",
"","Bennington","Sunderland",,"",5,"Write Ins",
"","Caledonia","Sutton",,"",0,"Write Ins",
"","Franklin","Swanton",,"",40,"Write Ins",
"","Orange","Thetford",,"",21,"Write Ins",
"","Rutland","Tinmouth",,"",1,"Write Ins",
"","Rutland","Tinmouth",,"",0,"Write Ins",
"","Orange","Topsham",,"",3,"Write Ins",
"","Windham","Townshend",,"",12,"Write Ins",
"","Orleans","Troy",,"",1,"Write Ins",
"","Orleans","Troy",,"",5,"Write Ins",
"","Orange","Tunbridge",,"",5,"Write Ins",
"","Chittenden","Underhill",,"",34,"Write Ins",
"","Addison","Vergennes",,"",11,"Write Ins",
"","Windham","Vernon",,"",30,"Write Ins",
"","Orange","Vershire",,"",2,"Write Ins",
"","Essex","Victory",,"",0,"Write Ins",
"","Washington","Waitsfield",,"",6,"Write Ins",
"","Caledonia","Walden",,"",7,"Write Ins",
"","Rutland","Wallingford",,"",12,"Write Ins",
"","Addison","Waltham",,"",27,"Write Ins",
"","Windham","Wardsboro",,"",7,"Write Ins",
"","Washington","Warren",,"",9,"Write Ins",
"","Orange","Washington",,"",5,"Write Ins",
"","Washington","Waterbury",,"",30,"Write Ins",
"","Caledonia","Waterford",,"",17,"Write Ins",
"","Lamoille","Waterville",,"",6,"Write Ins",
"","Windsor","Weathersfield",,"",13,"Write Ins",
"","Rutland","Wells",,"",7,"Write Ins",
"","Orange","West Fairlee",,"",0,"Write Ins",
"","Rutland","West Haven",,"",0,"Write Ins",
"","Rutland","West Rutland",,"",10,"Write Ins",
"","Windsor","West Windsor",,"",30,"Write Ins",
"","Orleans","Westfield",,"",4,"Write Ins",
"","Chittenden","Westford",,"",24,"Write Ins",
"","Windham","Westminster",,"",1,"Write Ins",
"","Windham","Westminster",,"",12,"Write Ins",
"","Orleans","Westmore",,"",1,"Write Ins",
"","Windsor","Weston",,"",10,"Write Ins",
"","Addison","Weybridge",,"",5,"Write Ins",
"","Caledonia","Wheelock",,"",7,"Write Ins",
"","Addison","Whiting",,"",2,"Write Ins",
"","Windham","Whitingham",,"",7,"Write Ins",
"","Windham","Whitingham",,"",0,"Write Ins",
"","Orange","Williamstown",,"",13,"Write Ins",
"","Chittenden","Williston",,"",80,"Write Ins",
"","Windham","Wilmington",,"",7,"Write Ins",
"","Windham","Windham",,"",2,"Write Ins",
"","Windsor","Windsor",,"",36,"Write Ins",
"","Bennington","Winhall",,"",6,"Write Ins",
"","Chittenden","Winooski",,"",39,"Write Ins",
"","Lamoille","Wolcott",,"",7,"Write Ins",
"","Washington","Woodbury",,"",2,"Write Ins",
"","Bennington","Woodford",,"",1,"Write Ins",
"","Windsor","Woodstock",,"",30,"Write Ins",
"","Washington","Worcester",,"",5,"Write Ins",
"","Addison","Addison","","",13,"Blanks",
"","Orleans","Albany","","",7,"Blanks",
"","Grand Isle","Alburgh","","",18,"Blanks",
"","Windsor","Andover","","",4,"Blanks",
"","Bennington","Arlington","","",2,"Blanks",
"","Windham","Athens","","",1,"Blanks",
"","Franklin","Bakersfield","","",7,"Blanks",
"","Windsor","Baltimore","","",1,"Blanks",
"","Windsor","Barnard","","",6,"Blanks",
"","Caledonia","Barnet","","",13,"Blanks",
"","Washington","Barre City","","",74,"Blanks",
"","Washington","Barre Town","","",121,"Blanks",
"","Orleans","Barton","","",18,"Blanks",
"","Lamoille","Belvidere","","",3,"Blanks",
"","Bennington","Bennington","","",76,"Blanks",
"","Bennington","Bennington","","",70,"Blanks",
"","Rutland","Benson","","",3,"Blanks",
"","Franklin","Berkshire","","",8,"Blanks",
"","Washington","Berlin","","",27,"Blanks",
"","Windsor","Bethel","","",17,"Blanks",
"","Essex","Bloomfield","","",1,"Blanks",
"","Chittenden","Bolton","","",6,"Blanks",
"","Orange","Bradford","","",24,"Blanks",
"","Orange","Braintree","","",9,"Blanks",
"","Rutland","Brandon","","",22,"Blanks",
"","Windham","Brattleboro","","",24,"Blanks",
"","Windham","Brattleboro","","",17,"Blanks",
"","Windham","Brattleboro","","",25,"Blanks",
"","Windsor","Bridgewater","","",3,"Blanks",
"","Addison","Bridport","","",8,"Blanks",
"","Essex","Brighton","","",1,"Blanks",
"","Addison","Bristol","","",24,"Blanks",
"","Orange","Brookfield","","",6,"Blanks",
"","Windham","Brookline","","",5,"Blanks",
"","Orleans","Brownington","","",6,"Blanks",
"","Essex","Brunswick","","",2,"Blanks",
"","Caledonia","Burke","","",7,"Blanks",
"","Chittenden","Burlington","","",67,"Blanks",
"","Chittenden","Burlington","","",26,"Blanks",
"","Chittenden","Burlington","","",24,"Blanks",
"","Chittenden","Burlington","","",18,"Blanks",
"","Chittenden","Burlington","","",49,"Blanks",
"","Chittenden","Burlington","","",6,"Blanks",
"","Chittenden","Burlington","","",0,"Blanks",
"","Washington","Cabot","","",6,"Blanks",
"","Washington","Calais","","",13,"Blanks",
"","Lamoille","Cambridge","","",23,"Blanks",
"","Essex","Canaan","","",4,"Blanks",
"","Rutland","Castleton","","",8,"Blanks",
"","Windsor","Cavendish","","",17,"Blanks",
"","Orleans","Charleston","","",5,"Blanks",
"","Chittenden","Charlotte","","",33,"Blanks",
"","Orange","Chelsea","","",9,"Blanks",
"","Windsor","Chester","","",19,"Blanks",
"","Rutland","Chittenden","","",16,"Blanks",
"","Rutland","Clarendon","","",19,"Blanks",
"","Chittenden","Colchester","","",33,"Blanks",
"","Chittenden","Colchester","","",70,"Blanks",
"","Essex","Concord","","",11,"Blanks",
"","Orange","Corinth","","",11,"Blanks",
"","Addison","Cornwall","","",9,"Blanks",
"","Orleans","Coventry","","",7,"Blanks",
"","Orleans","Craftsbury","","",10,"Blanks",
"","Rutland","Danby","","",16,"Blanks",
"","Caledonia","Danville","","",31,"Blanks",
"","Orleans","Derby","","",43,"Blanks",
"","Bennington","Dorset","","",20,"Blanks",
"","Windham","Dover","","",6,"Blanks",
"","Windham","Dummerston","","",8,"Blanks",
"","Washington","Duxbury","","",13,"Blanks",
"","Essex","East Haven","","",1,"Blanks",
"","Washington","East Montpelier","","",21,"Blanks",
"","Lamoille","Eden","","",5,"Blanks",
"","Lamoille","Elmore","","",8,"Blanks",
"","Franklin","Enosburgh","","",26,"Blanks",
"","Chittenden","Essex","","",65,"Blanks",
"","Chittenden","Essex","","",61,"Blanks",
"","Chittenden","Essex","","",18,"Blanks",
"","Rutland","Fair Haven","","",19,"Blanks",
"","Franklin","Fairfax","","",53,"Blanks",
"","Franklin","Fairfield","","",16,"Blanks",
"","Orange","Fairlee","","",6,"Blanks",
"","Washington","Fayston","","",8,"Blanks",
"","Addison","Ferrisburgh","","",24,"Blanks",
"","Franklin","Fletcher","","",4,"Blanks",
"","Franklin","Franklin","","",6,"Blanks",
"","Franklin","Georgia","","",42,"Blanks",
"","Orleans","Glover","","",12,"Blanks",
"","Addison","Goshen","","",2,"Blanks",
"","Windham","Grafton","","",8,"Blanks",
"","Essex","Granby","","",2,"Blanks",
"","Grand Isle","Grand Isle","","",22,"Blanks",
"","Addison","Granville","","",1,"Blanks",
"","Orleans","Greensboro","","",3,"Blanks",
"","Caledonia","Groton","","",12,"Blanks",
"","Essex","Guildhall","","",2,"Blanks",
"","Windham","Guilford","","",12,"Blanks",
"","Windham","Halifax","","",3,"Blanks",
"","Addison","Hancock","","",1,"Blanks",
"","Caledonia","Hardwick","","",33,"Blanks",
"","Windsor","Hartford","","",15,"Blanks",
"","Windsor","Hartford","","",56,"Blanks",
"","Windsor","Hartland","","",26,"Blanks",
"","Franklin","Highgate","","",14,"Blanks",
"","Chittenden","Hinesburg","","",0,"Blanks",
"","Chittenden","Hinesburg","","",36,"Blanks",
"","Orleans","Holland","","",0,"Blanks",
"","Rutland","Hubbardton","","",0,"Blanks",
"","Chittenden","Huntington","","",12,"Blanks",
"","Lamoille","Hyde Park","","",28,"Blanks",
"","Rutland","Ira","","",0,"Blanks",
"","Orleans","Irasburg","","",10,"Blanks",
"","Grand Isle","Isle La Motte","","",1,"Blanks",
"","Windham","Jamaica","","",2,"Blanks",
"","Orleans","Jay","","",1,"Blanks",
"","Chittenden","Jericho","","",11,"Blanks",
"","Lamoille","Johnson","","",13,"Blanks",
"","Rutland","Killington","","",9,"Blanks",
"","Caledonia","Kirby","","",3,"Blanks",
"","Bennington","Landgrove","","",2,"Blanks",
"","Addison","Leicester","","",10,"Blanks",
"","Essex","Lemington","","",1,"Blanks",
"","Addison","Lincoln","","",11,"Blanks",
"","Windham","Londonderry","","",9,"Blanks",
"","Orleans","Lowell","","",3,"Blanks",
"","Windsor","Ludlow","","",19,"Blanks",
"","Essex","Lunenburg","","",9,"Blanks",
"","Caledonia","Lyndon","","",21,"Blanks",
"","Essex","Maidstone","","",1,"Blanks",
"","Bennington","Manchester","","",52,"Blanks",
"","Windham","Marlboro","","",5,"Blanks",
"","Washington","Marshfield","","",11,"Blanks",
"","Rutland","Mendon","","",16,"Blanks",
"","Addison","Middlebury","","",36,"Blanks",
"","Washington","Middlesex","","",23,"Blanks",
"","Rutland","Middletown Springs","","",0,"Blanks",
"","Chittenden","Milton","","",84,"Blanks",
"","Chittenden","Milton","","",13,"Blanks",
"","Addison","Monkton","","",26,"Blanks",
"","Franklin","Montgomery","","",9,"Blanks",
"","Washington","Montpelier","","",61,"Blanks",
"","Washington","Moretown","","",26,"Blanks",
"","Orleans","Morgan","","",4,"Blanks",
"","Lamoille","Morristown","","",56,"Blanks",
"","Rutland","Mount Holly","","",11,"Blanks",
"","Rutland","Mount Tabor","","",0,"Blanks",
"","Addison","New Haven","","",21,"Blanks",
"","Caledonia","Newark","","",4,"Blanks",
"","Orange","Newbury","","",25,"Blanks",
"","Windham","Newfane","","",16,"Blanks",
"","Orleans","Newport City","","",17,"Blanks",
"","Orleans","Newport Town","","",4,"Blanks",
"","Grand Isle","North Hero","","",13,"Blanks",
"","Washington","Northfield","","",101,"Blanks",
"","Essex","Norton","","",0,"Blanks",
"","Windsor","Norwich","","",9,"Blanks",
"","Orange","Orange","","",6,"Blanks",
"","Addison","Orwell","","",11,"Blanks",
"","Addison","Panton","","",9,"Blanks",
"","Rutland","Pawlet","","",10,"Blanks",
"","Caledonia","Peacham","","",10,"Blanks",
"","Bennington","Peru","","",5,"Blanks",
"","Rutland","Pittsfield","","",1,"Blanks",
"","Rutland","Pittsford","","",38,"Blanks",
"","Washington","Plainfield","","",6,"Blanks",
"","Windsor","Plymouth","","",6,"Blanks",
"","Windsor","Pomfret","","",6,"Blanks",
"","Rutland","Poultney","","",17,"Blanks",
"","Bennington","Pownal","","",25,"Blanks",
"","Rutland","Proctor","","",17,"Blanks",
"","Windham","Putney","","",17,"Blanks",
"","Orange","Randolph","","",34,"Blanks",
"","Windsor","Reading","","",3,"Blanks",
"","Bennington","Readsboro","","",7,"Blanks",
"","Franklin","Richford","","",16,"Blanks",
"","Chittenden","Richmond","","",39,"Blanks",
"","Addison","Ripton","","",2,"Blanks",
"","Windsor","Rochester","","",11,"Blanks",
"","Windham","Rockingham","","",23,"Blanks",
"","Washington","Roxbury","","",10,"Blanks",
"","Windsor","Royalton","","",31,"Blanks",
"","Bennington","Rupert","","",6,"Blanks",
"","Rutland","Rutland City","","",34,"Blanks",
"","Rutland","Rutland City","","",18,"Blanks",
"","Rutland","Rutland City","","",12,"Blanks",
"","Rutland","Rutland City","","",20,"Blanks",
"","Rutland","Rutland Town","","",21,"Blanks",
"","Caledonia","Ryegate","","",11,"Blanks",
"","Addison","Salisbury","","",5,"Blanks",
"","Bennington","Sandgate","","",2,"Blanks",
"","Bennington","Searsburg","","",0,"Blanks",
"","Bennington","Shaftsbury","","",37,"Blanks",
"","Windsor","Sharon","","",10,"Blanks",
"","Caledonia","Sheffield","","",4,"Blanks",
"","Chittenden","Shelburne","","",57,"Blanks",
"","Chittenden","Shelburne","","",33,"Blanks",
"","Franklin","Sheldon","","",11,"Blanks",
"","Addison","Shoreham","","",9,"Blanks",
"","Rutland","Shrewsbury","","",6,"Blanks",
"","Chittenden","South Burlington","","",24,"Blanks",
"","Chittenden","South Burlington","","",19,"Blanks",
"","Chittenden","South Burlington","","",33,"Blanks",
"","Chittenden","South Burlington","","",21,"Blanks",
"","Grand Isle","South Hero","","",24,"Blanks",
"","Windsor","Springfield","","",6,"Blanks",
"","Windsor","Springfield","","",28,"Blanks",
"",,"Saint  Albans City","","",36,"Blanks",
"",,"Saint  Albans Town","","",26,"Blanks",
"",,"Saint  Albans Town","","",31,"Blanks",
"",,"Saint  George","","",5,"Blanks",
"",,"Saint  Johnsbury","","",37,"Blanks",
"","Bennington","Stamford","","",4,"Blanks",
"","Caledonia","Stannard","","",1,"Blanks",
"","Addison","Starksboro","","",12,"Blanks",
"","Windsor","Stockbridge","","",3,"Blanks",
"","Lamoille","Stowe","","",44,"Blanks",
"","Orange","Strafford","","",12,"Blanks",
"","Windham","Stratton","","",3,"Blanks",
"","Rutland","Sudbury","","",6,"Blanks",
"","Bennington","Sunderland","","",1,"Blanks",
"","Bennington","Sunderland","","",8,"Blanks",
"","Caledonia","Sutton","","",39,"Blanks",
"","Franklin","Swanton","","",40,"Blanks",
"","Orange","Thetford","","",8,"Blanks",
"","Rutland","Tinmouth","","",0,"Blanks",
"","Rutland","Tinmouth","","",3,"Blanks",
"","Orange","Topsham","","",9,"Blanks",
"","Windham","Townshend","","",6,"Blanks",
"","Orleans","Troy","","",3,"Blanks",
"","Orleans","Troy","","",3,"Blanks",
"","Orange","Tunbridge","","",9,"Blanks",
"","Chittenden","Underhill","","",26,"Blanks",
"","Addison","Vergennes","","",28,"Blanks",
"","Windham","Vernon","","",18,"Blanks",
"","Orange","Vershire","","",2,"Blanks",
"","Essex","Victory","","",3,"Blanks",
"","Washington","Waitsfield","","",21,"Blanks",
"","Caledonia","Walden","","",8,"Blanks",
"","Rutland","Wallingford","","",15,"Blanks",
"","Addison","Waltham","","",3,"Blanks",
"","Windham","Wardsboro","","",11,"Blanks",
"","Washington","Warren","","",9,"Blanks",
"","Orange","Washington","","",17,"Blanks",
"","Washington","Waterbury","","",43,"Blanks",
"","Caledonia","Waterford","","",6,"Blanks",
"","Lamoille","Waterville","","",6,"Blanks",
"","Windsor","Weathersfield","","",22,"Blanks",
"","Rutland","Wells","","",6,"Blanks",
"","Orange","West Fairlee","","",5,"Blanks",
"","Rutland","West Haven","","",8,"Blanks",
"","Rutland","West Rutland","","",13,"Blanks",
"","Windsor","West Windsor","","",11,"Blanks",
"","Orleans","Westfield","","",1,"Blanks",
"","Chittenden","Westford","","",2,"Blanks",
"","Windham","Westminster","","",2,"Blanks",
"","Windham","Westminster","","",11,"Blanks",
"","Orleans","Westmore","","",5,"Blanks",
"","Windsor","Weston","","",2,"Blanks",
"","Addison","Weybridge","","",44,"Blanks",
"","Caledonia","Wheelock","","",4,"Blanks",
"","Addison","Whiting","","",2,"Blanks",
"","Windham","Whitingham","","",11,"Blanks",
"","Windham","Whitingham","","",0,"Blanks",
"","Orange","Williamstown","","",24,"Blanks",
"","Chittenden","Williston","","",80,"Blanks",
"","Windham","Wilmington","","",17,"Blanks",
"","Windham","Windham","","",10,"Blanks",
"","Windsor","Windsor","","",21,"Blanks",
"","Bennington","Winhall","","",11,"Blanks",
"","Chittenden","Winooski","","",39,"Blanks",
"","Lamoille","Wolcott","","",11,"Blanks",
"","Washington","Woodbury","","",8,"Blanks",
"","Bennington","Woodford","","",2,"Blanks",
"","Windsor","Woodstock","","",30,"Blanks",
"","Washington","Worcester","","",5,"Blanks",
"","Addison","Addison",,"",0,"Spoiled",
"","Orleans","Albany",,"",2,"Spoiled",
"","Grand Isle","Alburgh",,"",0,"Spoiled",
"","Windsor","Andover",,"",1,"Spoiled",
"","Bennington","Arlington",,"",22,"Spoiled",
"","Windham","Athens",,"",0,"Spoiled",
"","Franklin","Bakersfield",,"",1,"Spoiled",
"","Windsor","Baltimore",,"",2,"Spoiled",
"","Windsor","Barnard",,"",1,"Spoiled",
"","Caledonia","Barnet",,"",0,"Spoiled",
"","Washington","Barre City",,"",0,"Spoiled",
"","Washington","Barre Town",,"",1,"Spoiled",
"","Orleans","Barton",,"",3,"Spoiled",
"","Lamoille","Belvidere",,"",1,"Spoiled",
"","Bennington","Bennington",,"",0,"Spoiled",
"","Bennington","Bennington",,"",0,"Spoiled",
"","Rutland","Benson",,"",1,"Spoiled",
"","Franklin","Berkshire",,"",1,"Spoiled",
"","Washington","Berlin",,"",5,"Spoiled",
"","Windsor","Bethel",,"",7,"Spoiled",
"","Essex","Bloomfield",,"",1,"Spoiled",
"","Chittenden","Bolton",,"",3,"Spoiled",
"","Orange","Bradford",,"",1,"Spoiled",
"","Orange","Braintree",,"",3,"Spoiled",
"","Rutland","Brandon",,"",11,"Spoiled",
"","Windham","Brattleboro",,"",1,"Spoiled",
"","Windham","Brattleboro",,"",1,"Spoiled",
"","Windham","Brattleboro",,"",0,"Spoiled",
"","Windsor","Bridgewater",,"",1,"Spoiled",
"","Addison","Bridport",,"",0,"Spoiled",
"","Essex","Brighton",,"",2,"Spoiled",
"","Addison","Bristol",,"",2,"Spoiled",
"","Orange","Brookfield",,"",9,"Spoiled",
"","Windham","Brookline",,"",4,"Spoiled",
"","Orleans","Brownington",,"",3,"Spoiled",
"","Essex","Brunswick",,"",0,"Spoiled",
"","Caledonia","Burke",,"",3,"Spoiled",
"","Chittenden","Burlington",,"",0,"Spoiled",
"","Chittenden","Burlington",,"",1,"Spoiled",
"","Chittenden","Burlington",,"",1,"Spoiled",
"","Chittenden","Burlington",,"",1,"Spoiled",
"","Chittenden","Burlington",,"",0,"Spoiled",
"","Chittenden","Burlington",,"",0,"Spoiled",
"","Chittenden","Burlington",,"",0,"Spoiled",
"","Washington","Cabot",,"",0,"Spoiled",
"","Washington","Calais",,"",0,"Spoiled",
"","Lamoille","Cambridge",,"",2,"Spoiled",
"","Essex","Canaan",,"",2,"Spoiled",
"","Rutland","Castleton",,"",2,"Spoiled",
"","Windsor","Cavendish",,"",0,"Spoiled",
"","Orleans","Charleston",,"",2,"Spoiled",
"","Chittenden","Charlotte",,"",26,"Spoiled",
"","Orange","Chelsea",,"",3,"Spoiled",
"","Windsor","Chester",,"",0,"Spoiled",
"","Rutland","Chittenden",,"",0,"Spoiled",
"","Rutland","Clarendon",,"",1,"Spoiled",
"","Chittenden","Colchester",,"",62,"Spoiled",
"","Chittenden","Colchester",,"",52,"Spoiled",
"","Essex","Concord",,"",2,"Spoiled",
"","Orange","Corinth",,"",0,"Spoiled",
"","Addison","Cornwall",,"",2,"Spoiled",
"","Orleans","Coventry",,"",0,"Spoiled",
"","Orleans","Craftsbury",,"",1,"Spoiled",
"","Rutland","Danby",,"",1,"Spoiled",
"","Caledonia","Danville",,"",8,"Spoiled",
"","Orleans","Derby",,"",1,"Spoiled",
"","Bennington","Dorset",,"",0,"Spoiled",
"","Windham","Dover",,"",5,"Spoiled",
"","Windham","Dummerston",,"",2,"Spoiled",
"","Washington","Duxbury",,"",1,"Spoiled",
"","Essex","East Haven",,"",2,"Spoiled",
"","Washington","East Montpelier",,"",0,"Spoiled",
"","Lamoille","Eden",,"",2,"Spoiled",
"","Lamoille","Elmore",,"",3,"Spoiled",
"","Franklin","Enosburgh",,"",0,"Spoiled",
"","Chittenden","Essex",,"",2,"Spoiled",
"","Chittenden","Essex",,"",2,"Spoiled",
"","Chittenden","Essex",,"",0,"Spoiled",
"","Rutland","Fair Haven",,"",0,"Spoiled",
"","Franklin","Fairfax",,"",13,"Spoiled",
"","Franklin","Fairfield",,"",1,"Spoiled",
"","Orange","Fairlee",,"",1,"Spoiled",
"","Washington","Fayston",,"",0,"Spoiled",
"","Addison","Ferrisburgh",,"",4,"Spoiled",
"","Franklin","Fletcher",,"",4,"Spoiled",
"","Franklin","Franklin",,"",3,"Spoiled",
"","Franklin","Georgia",,"",10,"Spoiled",
"","Orleans","Glover",,"",3,"Spoiled",
"","Addison","Goshen",,"",0,"Spoiled",
"","Windham","Grafton",,"",1,"Spoiled",
"","Essex","Granby",,"",0,"Spoiled",
"","Grand Isle","Grand Isle",,"",5,"Spoiled",
"","Addison","Granville",,"",0,"Spoiled",
"","Orleans","Greensboro",,"",1,"Spoiled",
"","Caledonia","Groton",,"",3,"Spoiled",
"","Essex","Guildhall",,"",2,"Spoiled",
"","Windham","Guilford",,"",0,"Spoiled",
"","Windham","Halifax",,"",1,"Spoiled",
"","Addison","Hancock",,"",2,"Spoiled",
"","Caledonia","Hardwick",,"",1,"Spoiled",
"","Windsor","Hartford",,"",1,"Spoiled",
"","Windsor","Hartford",,"",0,"Spoiled",
"","Windsor","Hartland",,"",1,"Spoiled",
"","Franklin","Highgate",,"",2,"Spoiled",
"","Chittenden","Hinesburg",,"",0,"Spoiled",
"","Chittenden","Hinesburg",,"",6,"Spoiled",
"","Orleans","Holland",,"",1,"Spoiled",
"","Rutland","Hubbardton",,"",0,"Spoiled",
"","Chittenden","Huntington",,"",1,"Spoiled",
"","Lamoille","Hyde Park",,"",3,"Spoiled",
"","Rutland","Ira",,"",1,"Spoiled",
"","Orleans","Irasburg",,"",4,"Spoiled",
"","Grand Isle","Isle La Motte",,"",3,"Spoiled",
"","Windham","Jamaica",,"",1,"Spoiled",
"","Orleans","Jay",,"",0,"Spoiled",
"","Chittenden","Jericho",,"",7,"Spoiled",
"","Lamoille","Johnson",,"",0,"Spoiled",
"","Rutland","Killington",,"",0,"Spoiled",
"","Caledonia","Kirby",,"",0,"Spoiled",
"","Bennington","Landgrove",,"",0,"Spoiled",
"","Addison","Leicester",,"",0,"Spoiled",
"","Essex","Lemington",,"",1,"Spoiled",
"","Addison","Lincoln",,"",1,"Spoiled",
"","Windham","Londonderry",,"",2,"Spoiled",
"","Orleans","Lowell",,"",4,"Spoiled",
"","Windsor","Ludlow",,"",0,"Spoiled",
"","Essex","Lunenburg",,"",0,"Spoiled",
"","Caledonia","Lyndon",,"",2,"Spoiled",
"","Essex","Maidstone",,"",0,"Spoiled",
"","Bennington","Manchester",,"",1,"Spoiled",
"","Windham","Marlboro",,"",1,"Spoiled",
"","Washington","Marshfield",,"",4,"Spoiled",
"","Rutland","Mendon",,"",0,"Spoiled",
"","Addison","Middlebury",,"",20,"Spoiled",
"","Washington","Middlesex",,"",0,"Spoiled",
"","Rutland","Middletown Springs",,"",8,"Spoiled",
"","Chittenden","Milton",,"",3,"Spoiled",
"","Chittenden","Milton",,"",0,"Spoiled",
"","Addison","Monkton",,"",0,"Spoiled",
"","Franklin","Montgomery",,"",4,"Spoiled",
"","Washington","Montpelier",,"",2,"Spoiled",
"","Washington","Moretown",,"",3,"Spoiled",
"","Orleans","Morgan",,"",1,"Spoiled",
"","Lamoille","Morristown",,"",4,"Spoiled",
"","Rutland","Mount Holly",,"",2,"Spoiled",
"","Rutland","Mount Tabor",,"",0,"Spoiled",
"","Addison","New Haven",,"",0,"Spoiled",
"","Caledonia","Newark",,"",2,"Spoiled",
"","Orange","Newbury",,"",2,"Spoiled",
"","Windham","Newfane",,"",8,"Spoiled",
"","Orleans","Newport City",,"",6,"Spoiled",
"","Orleans","Newport Town",,"",4,"Spoiled",
"","Grand Isle","North Hero",,"",0,"Spoiled",
"","Washington","Northfield",,"",2,"Spoiled",
"","Essex","Norton",,"",2,"Spoiled",
"","Windsor","Norwich",,"",3,"Spoiled",
"","Orange","Orange",,"",5,"Spoiled",
"","Addison","Orwell",,"",5,"Spoiled",
"","Addison","Panton",,"",1,"Spoiled",
"","Rutland","Pawlet",,"",1,"Spoiled",
"","Caledonia","Peacham",,"",0,"Spoiled",
"","Bennington","Peru",,"",3,"Spoiled",
"","Rutland","Pittsfield",,"",0,"Spoiled",
"","Rutland","Pittsford",,"",5,"Spoiled",
"","Washington","Plainfield",,"",3,"Spoiled",
"","Windsor","Plymouth",,"",0,"Spoiled",
"","Windsor","Pomfret",,"",0,"Spoiled",
"","Rutland","Poultney",,"",3,"Spoiled",
"","Bennington","Pownal",,"",0,"Spoiled",
"","Rutland","Proctor",,"",0,"Spoiled",
"","Windham","Putney",,"",1,"Spoiled",
"","Orange","Randolph",,"",9,"Spoiled",
"","Windsor","Reading",,"",6,"Spoiled",
"","Bennington","Readsboro",,"",1,"Spoiled",
"","Franklin","Richford",,"",3,"Spoiled",
"","Chittenden","Richmond",,"",1,"Spoiled",
"","Addison","Ripton",,"",0,"Spoiled",
"","Windsor","Rochester",,"",1,"Spoiled",
"","Windham","Rockingham",,"",2,"Spoiled",
"","Washington","Roxbury",,"",0,"Spoiled",
"","Windsor","Royalton",,"",0,"Spoiled",
"","Bennington","Rupert",,"",1,"Spoiled",
"","Rutland","Rutland City",,"",0,"Spoiled",
"","Rutland","Rutland City",,"",0,"Spoiled",
"","Rutland","Rutland City",,"",0,"Spoiled",
"","Rutland","Rutland City",,"",0,"Spoiled",
"","Rutland","Rutland Town",,"",1,"Spoiled",
"","Caledonia","Ryegate",,"",23,"Spoiled",
"","Addison","Salisbury",,"",3,"Spoiled",
"","Bennington","Sandgate",,"",0,"Spoiled",
"","Bennington","Searsburg",,"",1,"Spoiled",
"","Bennington","Shaftsbury",,"",2,"Spoiled",
"","Windsor","Sharon",,"",1,"Spoiled",
"","Caledonia","Sheffield",,"",1,"Spoiled",
"","Chittenden","Shelburne",,"",6,"Spoiled",
"","Chittenden","Shelburne",,"",7,"Spoiled",
"","Franklin","Sheldon",,"",0,"Spoiled",
"","Addison","Shoreham",,"",0,"Spoiled",
"","Rutland","Shrewsbury",,"",5,"Spoiled",
"","Chittenden","South Burlington",,"",26,"Spoiled",
"","Chittenden","South Burlington",,"",23,"Spoiled",
"","Chittenden","South Burlington",,"",22,"Spoiled",
"","Chittenden","South Burlington",,"",14,"Spoiled",
"","Grand Isle","South Hero",,"",4,"Spoiled",
"","Windsor","Springfield",,"",0,"Spoiled",
"","Windsor","Springfield",,"",11,"Spoiled",
"",,"Saint  Albans City",,"",0,"Spoiled",
"",,"Saint  Albans Town",,"",1,"Spoiled",
"",,"Saint  Albans Town",,"",1,"Spoiled",
"",,"Saint  George",,"",0,"Spoiled",
"",,"Saint  Johnsbury",,"",5,"Spoiled",
"","Bennington","Stamford",,"",3,"Spoiled",
"","Caledonia","Stannard",,"",2,"Spoiled",
"","Addison","Starksboro",,"",0,"Spoiled",
"","Windsor","Stockbridge",,"",2,"Spoiled",
"","Lamoille","Stowe",,"",8,"Spoiled",
"","Orange","Strafford",,"",0,"Spoiled",
"","Windham","Stratton",,"",0,"Spoiled",
"","Rutland","Sudbury",,"",1,"Spoiled",
"","Bennington","Sunderland",,"",0,"Spoiled",
"","Bennington","Sunderland",,"",1,"Spoiled",
"","Caledonia","Sutton",,"",0,"Spoiled",
"","Franklin","Swanton",,"",2,"Spoiled",
"","Orange","Thetford",,"",0,"Spoiled",
"","Rutland","Tinmouth",,"",1,"Spoiled",
"","Rutland","Tinmouth",,"",0,"Spoiled",
