election_value,title,year,election_type,district,party,office
76974,2004 State Representative Republican Primary Chittenden 4 District,2004,Primary,Chittenden 4,Republican,State Representative
76975,2004 State Representative Republican Primary Chittenden 5 District,2004,Primary,Chittenden 5,Republican,State Representative
76976,2004 State Representative Republican Primary Chittenden 5-2 District,2004,Primary,Chittenden 5-2,Republican,State Representative
76977,2004 State Representative Republican Primary Chittenden 6-1 District,2004,Primary,Chittenden 6-1,Republican,State Representative
76978,2004 State Representative Republican Primary Chittenden 6-2 District,2004,Primary,Chittenden 6-2,Republican,State Representative
76979,2004 State Representative Republican Primary Chittenden 6-3 District,2004,Primary,Chittenden 6-3,Republican,State Representative
76980,2004 State Representative Republican Primary Chittdenden 7-1 District,2004,Primary,Chittdenden 7-1,Republican,State Representative
76981,2004 State Representative Republican Primary Chittdenden 7-2 District,2004,Primary,Chittdenden 7-2,Republican,State Representative
76982,2004 State Representative Republican Primary Chittdenden 8 District,2004,Primary,Chittdenden 8,Republican,State Representative
76983,2004 State Representative Republican Primary Chittenden 9 District,2004,Primary,Chittenden 9,Republican,State Representative
76984,2004 State Representative Republican Primary Essex-Caledonia District,2004,Primary,Essex-Caledonia,Republican,State Representative
76985,2004 State Representative Republican Primary Essex-Caldeonia-Orleans District,2004,Primary,Essex-Caldeonia-Orleans,Republican,State Representative
76986,2004 State Representative Republican Primary Franklin 1 District,2004,Primary,Franklin 1,Republican,State Representative
76987,2004 State Representative Republican Primary Franklin 2 District,2004,Primary,Franklin 2,Republican,State Representative
76988,2004 State Representative Republican Primary Franklin 3 District,2004,Primary,Franklin 3,Republican,State Representative
76989,2004 State Representative Republican Primary Franklin 4 District,2004,Primary,Franklin 4,Republican,State Representative
76990,2004 State Representative Republican Primary Franklin 5 District,2004,Primary,Franklin 5,Republican,State Representative
76991,2004 State Representative Republican Primary Franklin 6 District,2004,Primary,Franklin 6,Republican,State Representative
76992,2004 State Representative Republican Primary Grand Isle-Chittenden 1 District,2004,Primary,Grand Isle-Chittenden 1,Republican,State Representative
76993,2004 State Representative Republican Primary Lamoille 1 District,2004,Primary,Lamoille 1,Republican,State Representative
76994,2004 State Representative Republican Primary Lamoille 2 District,2004,Primary,Lamoille 2,Republican,State Representative
76995,2004 State Representative Republican Primary Lamoille 3 District,2004,Primary,Lamoille 3,Republican,State Representative
76996,2004 State Representative Republican Primary Lamoille 4 District,2004,Primary,Lamoille 4,Republican,State Representative
76997,2004 State Representative Republican Primary Lamoille-Washington 1 District,2004,Primary,Lamoille-Washington 1,Republican,State Representative
76998,2004 State Representative Republican Primary Orange 1 District,2004,Primary,Orange 1,Republican,State Representative
76999,2004 State Representative Republican Primary Orange 2 District,2004,Primary,Orange 2,Republican,State Representative
77000,2004 State Representative Republican Primary Orange-Addison 1 District,2004,Primary,Orange-Addison 1,Republican,State Representative
77001,2004 State Representative Republican Primary Orange-Caledonia 1 District,2004,Primary,Orange-Caledonia 1,Republican,State Representative
77002,2004 State Representative Republican Primary Windsor-Orange 2 District,2004,Primary,Windsor-Orange 2,Republican,State Representative
77003,2004 State Representative Republican Primary Orleans 1 District,2004,Primary,Orleans 1,Republican,State Representative
77004,2004 State Representative Republican Primary Orleans 2 District,2004,Primary,Orleans 2,Republican,State Representative
77005,2004 State Representative Republican Primary Orleans-Caledonia 1 District,2004,Primary,Orleans-Caledonia 1,Republican,State Representative
77006,2004 State Representative Republican Primary Orleans-Franklin 1 District,2004,Primary,Orleans-Franklin 1,Republican,State Representative
77007,2004 State Representative Republican Primary Rutland 1-1 District,2004,Primary,Rutland 1-1,Republican,State Representative
77008,2004 State Representative Republican Primary Rutland 1-2 District,2004,Primary,Rutland 1-2,Republican,State Representative
77009,2004 State Representative Republican Primary Rutland 2 District,2004,Primary,Rutland 2,Republican,State Representative
77010,2004 State Representative Republican Primary Rutland 3 District,2004,Primary,Rutland 3,Republican,State Representative
77011,2004 State Representative Republican Primary Rutland 4 District,2004,Primary,Rutland 4,Republican,State Representative
77012,2004 State Representative Republican Primary Rutland 5-1 District,2004,Primary,Rutland 5-1,Republican,State Representative
77013,2004 State Representative Republican Primary Rutland 5-2 District,2004,Primary,Rutland 5-2,Republican,State Representative
77014,2004 State Representative Republican Primary Rutland 5-3 District,2004,Primary,Rutland 5-3,Republican,State Representative
77015,2004 State Representative Republican Primary Rutland 5-4 District,2004,Primary,Rutland 5-4,Republican,State Representative
77016,2004 State Representative Republican Primary Rutland 6 District,2004,Primary,Rutland 6,Republican,State Representative
77017,2004 State Representative Republican Primary Rutland 7 District,2004,Primary,Rutland 7,Republican,State Representative
77018,2004 State Representative Republican Primary Rutland 8 District,2004,Primary,Rutland 8,Republican,State Representative
77019,2004 State Representative Republican Primary Rutland-Windsor 1 District,2004,Primary,Rutland-Windsor 1,Republican,State Representative
77020,2004 State Representative Republican Primary Washington 2 District,2004,Primary,Washington 2,Republican,State Representative
77021,2004 State Representative Republican Primary Washington 3-1 District,2004,Primary,Washington 3-1,Republican,State Representative
77022,2004 State Representative Republican Primary Washington 3-2 District,2004,Primary,Washington 3-2,Republican,State Representative
77023,2004 State Representative Republican Primary Washington 3-3 District,2004,Primary,Washington 3-3,Republican,State Representative
77024,2004 State Representative Republican Primary Washington 4 District,2004,Primary,Washington 4,Republican,State Representative
77025,2004 State Representative Republican Primary Washington 5 District,2004,Primary,Washington 5,Republican,State Representative
77026,2004 State Representative Republican Primary Washington 6 District,2004,Primary,Washington 6,Republican,State Representative
77027,2004 State Representative Republican Primary Washington 7 District,2004,Primary,Washington 7,Republican,State Representative
77028,2004 State Representative Republican Primary Washington-Chittenden 1 District,2004,Primary,Washington-Chittenden 1,Republican,State Representative
77029,2004 State Representative Republican Primary Windham 1 District,2004,Primary,Windham 1,Republican,State Representative
77030,2004 State Representative Republican Primary Windham 2 District,2004,Primary,Windham 2,Republican,State Representative
77031,2004 State Representative Republican Primary Windham 3-1 District,2004,Primary,Windham 3-1,Republican,State Representative
77032,2004 State Representative Republican Primary Windham 3-2 District,2004,Primary,Windham 3-2,Republican,State Representative
77033,2004 State Representative Republican Primary Windham 4 District,2004,Primary,Windham 4,Republican,State Representative
77034,2004 State Representative Republican Primary Windham 5 District,2004,Primary,Windham 5,Republican,State Representative
77035,2004 State Representative Republican Primary Windham 6 District,2004,Primary,Windham 6,Republican,State Representative
77036,2004 State Representative Republican Primary Windham-Bennington 1 District,2004,Primary,Windham-Bennington 1,Republican,State Representative
77037,2004 State Representative Republican Primary Windham Bennington Windosr 1 District,2004,Primary,Windham Bennington Windosr 1,Republican,State Representative
77038,2004 State Representative Republican Primary Windsor 1-1 District,2004,Primary,Windsor 1-1,Republican,State Representative
77039,2004 State Representative Republican Primary Windsor 1-2 District,2004,Primary,Windsor 1-2,Republican,State Representative
77040,2004 State Representative Republican Primary Windsor 2 District,2004,Primary,Windsor 2,Republican,State Representative
77041,2004 State Representative Republican Primary Windsor 3 District,2004,Primary,Windsor 3,Republican,State Representative
77042,2004 State Representative Republican Primary Windsor 4 District,2004,Primary,Windsor 4,Republican,State Representative
77043,2004 State Representative Republican Primary Windsor 5 District,2004,Primary,Windsor 5,Republican,State Representative
77044,2004 State Representative Republican Primary Windsor 6-1 District,2004,Primary,Windsor 6-1,Republican,State Representative
77045,2004 State Representative Republican Primary Windsor 6-2 District,2004,Primary,Windsor 6-2,Republican,State Representative
77046,2004 State Representative Republican Primary Windsor-Orange 1 District,2004,Primary,Windsor-Orange 1,Republican,State Representative
77047,2004 State Representative Republican Primary Windsor-Rutland 1 District,2004,Primary,Windsor-Rutland 1,Republican,State Representative
77048,2004 State Representative Republican Primary Windsor-Rutland 2 District,2004,Primary,Windsor-Rutland 2,Republican,State Representative
77049,2002 State Representative General Election Addison 1 District,2002,General,Addison 1,NA,State Representative
77050,2002 State Representative General Election Addison 2 District,2002,General,Addison 2,NA,State Representative
77051,2002 State Representative General Election Addison 3 District,2002,General,Addison 3,NA,State Representative
77052,2002 State Representative General Election Addison 4 District,2002,General,Addison 4,NA,State Representative
77053,2002 State Representative General Election Addison 5 District,2002,General,Addison 5,NA,State Representative
77054,2002 State Representative General Election Addison-Rutland 1 District,2002,General,Addison-Rutland 1,NA,State Representative
77055,2002 State Representative General Election Bennington 1 District,2002,General,Bennington 1,NA,State Representative
77056,2002 State Representative General Election Bennington 2-1 District,2002,General,Bennington 2-1,NA,State Representative
77057,2002 State Representative General Election Bennington 2-2 District,2002,General,Bennington 2-2,NA,State Representative
77058,2002 State Representative General Election Bennington 3 District,2002,General,Bennington 3,NA,State Representative
77059,2002 State Representative General Election Bennington 4 District,2002,General,Bennington 4,NA,State Representative
77060,2002 State Representative General Election Bennington 5 District,2002,General,Bennington 5,NA,State Representative
77061,2002 State Representative General Election Bennington-Rutland 1 District,2002,General,Bennington-Rutland 1,NA,State Representative
77062,2002 State Representative General Election Caledonia 1 District,2002,General,Caledonia 1,NA,State Representative
77063,2002 State Representative General Election Caledonia 2 District,2002,General,Caledonia 2,NA,State Representative
77064,2002 State Representative General Election Caledonia 3 District,2002,General,Caledonia 3,NA,State Representative
77065,2002 State Representative General Election Caledonia 4 District,2002,General,Caledonia 4,NA,State Representative
77066,2002 State Representative General Election Caledonia-Washington 1 District,2002,General,Caledonia-Washington 1,NA,State Representative
77067,2002 State Representative General Election Chittenden 1-1 District,2002,General,Chittenden 1-1,NA,State Representative
77068,2002 State Representative General Election Chittenden 1-2 District,2002,General,Chittenden 1-2,NA,State Representative
77069,2002 State Representative General Election Chittenden 2 District,2002,General,Chittenden 2,NA,State Representative
77070,2002 State Representative General Election Chittenden 3-1 District,2002,General,Chittenden 3-1,NA,State Representative
77071,2002 State Representative General Election Chittenden 3-2 District,2002,General,Chittenden 3-2,NA,State Representative
77072,2002 State Representative General Election Chittenden 3-3 District,2002,General,Chittenden 3-3,NA,State Representative
77073,2002 State Representative General Election Chittenden 3-4 District,2002,General,Chittenden 3-4,NA,State Representative
77074,2002 State Representative General Election Chittenden 3-5 District,2002,General,Chittenden 3-5,NA,State Representative
77075,2002 State Representative General Election Chittenden 3-6 District,2002,General,Chittenden 3-6,NA,State Representative
77076,2002 State Representative General Election Chittenden 3-7 District,2002,General,Chittenden 3-7,NA,State Representative
77077,2002 State Representative General Election Chittenden 3-8 District,2002,General,Chittenden 3-8,NA,State Representative
77078,2002 State Representative General Election Chittenden 3-9 District,2002,General,Chittenden 3-9,NA,State Representative
77079,2002 State Representative General Election Chittenden 3-10 District,2002,General,Chittenden 3-10,NA,State Representative
77080,2002 State Representative General Election Chittenden 4 District,2002,General,Chittenden 4,NA,State Representative
77081,2002 State Representative General Election Chittenden 5-1 District,2002,General,Chittenden 5-1,NA,State Representative
77082,2002 State Representative General Election Chittenden 5-2 District,2002,General,Chittenden 5-2,NA,State Representative
77083,2002 State Representative General Election Shelburne 5-2 District,2002,General,Shelburne 5-2,NA,State Representative
77084,2002 State Representative General Election Chittenden 6-1 District,2002,General,Chittenden 6-1,NA,State Representative
77085,2002 State Representative General Election Chittenden 6-2 District,2002,General,Chittenden 6-2,NA,State Representative
77086,2002 State Representative General Election Chittenden 6-3 District,2002,General,Chittenden 6-3,NA,State Representative
77087,2002 State Representative General Election Chittenden 7-1 District,2002,General,Chittenden 7-1,NA,State Representative
77088,2002 State Representative General Election Chittenden 7-2 District,2002,General,Chittenden 7-2,NA,State Representative
77089,2002 State Representative General Election Chittenden 8 District,2002,General,Chittenden 8,NA,State Representative
77090,2002 State Representative General Election Chittenden 9 District,2002,General,Chittenden 9,NA,State Representative
77091,2002 State Representative General Election Essex-Caledonia District,2002,General,Essex-Caledonia,NA,State Representative
77092,2002 State Representative General Election Essex-Caledonia-Orleans District,2002,General,Essex-Caledonia-Orleans,NA,State Representative
77093,2002 State Representative General Election Franklin 1 District,2002,General,Franklin 1,NA,State Representative
77094,2002 State Representative General Election Franklin 2 District,2002,General,Franklin 2,NA,State Representative
77095,2002 State Representative General Election Franklin 3 District,2002,General,Franklin 3,NA,State Representative
77096,2002 State Representative General Election Franklin 4 District,2002,General,Franklin 4,NA,State Representative
77097,2002 State Representative General Election Franklin 5 District,2002,General,Franklin 5,NA,State Representative
77098,2002 State Representative General Election Franklin 6 District,2002,General,Franklin 6,NA,State Representative
77099,2002 State Representative General Election Grand Isle-Chittenden 1 District,2002,General,Grand Isle-Chittenden 1,NA,State Representative
77100,2002 State Representative General Election Lamoille 1 District,2002,General,Lamoille 1,NA,State Representative
77101,2002 State Representative General Election Lamoille 2 District,2002,General,Lamoille 2,NA,State Representative
77102,2002 State Representative General Election Lamoille 3 District,2002,General,Lamoille 3,NA,State Representative
77103,2002 State Representative General Election Lamoille 4 District,2002,General,Lamoille 4,NA,State Representative
77104,2002 State Representative General Election Lamoille-Washington 1 District,2002,General,Lamoille-Washington 1,NA,State Representative
77105,2002 State Representative General Election Orange 1 District,2002,General,Orange 1,NA,State Representative
77106,2002 State Representative General Election Orange 2 District,2002,General,Orange 2,NA,State Representative
77107,2002 State Representative General Election Orange-Addison 1 District,2002,General,Orange-Addison 1,NA,State Representative
77108,2002 State Representative General Election Orange-Caledonia 1 District,2002,General,Orange-Caledonia 1,NA,State Representative
77109,2002 State Representative General Election Orleans 1 District,2002,General,Orleans 1,NA,State Representative
77110,2002 State Representative General Election Orleans 2 District,2002,General,Orleans 2,NA,State Representative
77111,2002 State Representative General Election Orleans-Caledonia 1 District,2002,General,Orleans-Caledonia 1,NA,State Representative
77112,2002 State Representative General Election Orleans-Franklin 1 District,2002,General,Orleans-Franklin 1,NA,State Representative
77113,2002 State Representative General Election Rutland 1-1 District,2002,General,Rutland 1-1,NA,State Representative
77114,2002 State Representative General Election Rutland 1-2 District,2002,General,Rutland 1-2,NA,State Representative
77115,2002 State Representative General Election Rutland 2 District,2002,General,Rutland 2,NA,State Representative
77116,2002 State Representative General Election Rutland 3 District,2002,General,Rutland 3,NA,State Representative
77117,2002 State Representative General Election Rutland 4 District,2002,General,Rutland 4,NA,State Representative
77118,2002 State Representative General Election Rutland 5-1 District,2002,General,Rutland 5-1,NA,State Representative
77119,2002 State Representative General Election Rutland 5-2 District,2002,General,Rutland 5-2,NA,State Representative
77120,2002 State Representative General Election Rutland 5-3 District,2002,General,Rutland 5-3,NA,State Representative
77121,2002 State Representative General Election Rutland 5-4 District,2002,General,Rutland 5-4,NA,State Representative
77122,2002 State Representative General Election Rutland 6 District,2002,General,Rutland 6,NA,State Representative
77123,2002 State Representative General Election Rutland 7 District,2002,General,Rutland 7,NA,State Representative
77124,2002 State Representative General Election Rutland 8 District,2002,General,Rutland 8,NA,State Representative
77125,2002 State Representative General Election Rutland-Windsor 1 District,2002,General,Rutland-Windsor 1,NA,State Representative
77126,2002 State Representative General Election Washington 1 District,2002,General,Washington 1,NA,State Representative
77127,2002 State Representative General Election Washington 2 District,2002,General,Washington 2,NA,State Representative
77128,2002 State Representative General Election Washington 3-1 District,2002,General,Washington 3-1,NA,State Representative
77129,2002 State Representative General Election Washington 3-2 District,2002,General,Washington 3-2,NA,State Representative
77130,2002 State Representative General Election Washington 3-3 District,2002,General,Washington 3-3,NA,State Representative
77131,2002 State Representative General Election Washington 4 District,2002,General,Washington 4,NA,State Representative
77132,2002 State Representative General Election Washington 5 District,2002,General,Washington 5,NA,State Representative
77133,2002 State Representative General Election Washington 6 District,2002,General,Washington 6,NA,State Representative
77134,2002 State Representative General Election Washington 7 District,2002,General,Washington 7,NA,State Representative
77135,2002 State Representative General Election Washington-Chittenden 1 District,2002,General,Washington-Chittenden 1,NA,State Representative
77136,2002 State Representative General Election Windham 1 District,2002,General,Windham 1,NA,State Representative
77137,2002 State Representative General Election Windham 2 District,2002,General,Windham 2,NA,State Representative
77138,2002 State Representative General Election Windham 3-1 District,2002,General,Windham 3-1,NA,State Representative
77139,2002 State Representative General Election Windham 3-2 District,2002,General,Windham 3-2,NA,State Representative
77140,2002 State Representative General Election Windham 3-3 District,2002,General,Windham 3-3,NA,State Representative
77141,2002 State Representative General Election Windham 4 District,2002,General,Windham 4,NA,State Representative
77142,2002 State Representative General Election Windham 5 District,2002,General,Windham 5,NA,State Representative
77143,2002 State Representative General Election Windham 6 District,2002,General,Windham 6,NA,State Representative
77144,2002 State Representative General Election Windham-Bennington 1 District,2002,General,Windham-Bennington 1,NA,State Representative
77145,2002 State Representative General Election Windham-Bennington-Windsor 1 District,2002,General,Windham-Bennington-Windsor 1,NA,State Representative
77146,2002 State Representative General Election Windsor 1-1 District,2002,General,Windsor 1-1,NA,State Representative
77147,2002 State Representative General Election Windsor 1-2 District,2002,General,Windsor 1-2,NA,State Representative
77148,2002 State Representative General Election Windsor 2 District,2002,General,Windsor 2,NA,State Representative
77149,2002 State Representative General Election Windsor 3 District,2002,General,Windsor 3,NA,State Representative
77150,2002 State Representative General Election Windsor 4 District,2002,General,Windsor 4,NA,State Representative
77151,2002 State Representative General Election Windsor 5 District,2002,General,Windsor 5,NA,State Representative
77152,2002 State Representative General Election Windsor 6-1 District,2002,General,Windsor 6-1,NA,State Representative
77153,2002 State Representative General Election Windsor 6-2 District,2002,General,Windsor 6-2,NA,State Representative
77154,2002 State Representative General Election Windsor-Orange 1 District,2002,General,Windsor-Orange 1,NA,State Representative
77155,2002 State Representative General Election Windsor-Orange 2 District,2002,General,Windsor-Orange 2,NA,State Representative
77156,2002 State Representative General Election Windsor-Rutland 1 District,2002,General,Windsor-Rutland 1,NA,State Representative
77157,2002 State Representative General Election Windsor-Rutland 2 District,2002,General,Windsor-Rutland 2,NA,State Representative
77158,2000 State Representative General Election Addison 1 District,2000,General,Addison 1,NA,State Representative
77159,2000 State Representative General Election Addison 2 District,2000,General,Addison 2,NA,State Representative
77160,2000 State Representative General Election Addison 3 District,2000,General,Addison 3,NA,State Representative
77161,2000 State Representative General Election Addison 4-1 District,2000,General,Addison 4-1,NA,State Representative
77162,2000 State Representative General Election Addison 4-2 District,2000,General,Addison 4-2,NA,State Representative
77163,2000 State Representative General Election Addison-Rutland 1 District,2000,General,Addison-Rutland 1,NA,State Representative
77164,2000 State Representative General Election Addison-Rutland 2 District,2000,General,Addison-Rutland 2,NA,State Representative
77165,2000 State Representative General Election Bennington 1 District,2000,General,Bennington 1,NA,State Representative
77166,2000 State Representative General Election Bennington 2-1 District,2000,General,Bennington 2-1,NA,State Representative
77167,2000 State Representative General Election Bennington 2-2 District,2000,General,Bennington 2-2,NA,State Representative
77168,2000 State Representative General Election Bennington 2-3 District,2000,General,Bennington 2-3,NA,State Representative
77169,2000 State Representative General Election Bennington 2-4 District,2000,General,Bennington 2-4,NA,State Representative
77170,2000 State Representative General Election Bennington 3 District,2000,General,Bennington 3,NA,State Representative
77171,2000 State Representative General Election Bennington 4 District,2000,General,Bennington 4,NA,State Representative
77172,2000 State Representative General Election Bennington-Rutland 1 District,2000,General,Bennington-Rutland 1,NA,State Representative
77173,2000 State Representative General Election Caledonia 1 District,2000,General,Caledonia 1,NA,State Representative
77174,2000 State Representative General Election Caledonia 2 District,2000,General,Caledonia 2,NA,State Representative
77175,2000 State Representative General Election Caledonia 3 District,2000,General,Caledonia 3,NA,State Representative
77176,2000 State Representative General Election Caledonia 4 District,2000,General,Caledonia 4,NA,State Representative
77177,2000 State Representative General Election Caledonia-Washington 1 District,2000,General,Caledonia-Washington 1,NA,State Representative
77178,2000 State Representative General Election Chittenden 1-1 District,2000,General,Chittenden 1-1,NA,State Representative
77179,2000 State Representative General Election Chittenden 1-2 District,2000,General,Chittenden 1-2,NA,State Representative
77180,2000 State Representative General Election Chittenden 1-3 District,2000,General,Chittenden 1-3,NA,State Representative
77181,2000 State Representative General Election Chittenden 2-1 District,2000,General,Chittenden 2-1,NA,State Representative
77182,2000 State Representative General Election Chittenden 2-2 District,2000,General,Chittenden 2-2,NA,State Representative
77183,2000 State Representative General Election Chittenden 2-3 District,2000,General,Chittenden 2-3,NA,State Representative
77184,2000 State Representative General Election Chittenden 2-4 District,2000,General,Chittenden 2-4,NA,State Representative
77185,2000 State Representative General Election Chittenden 3 District,2000,General,Chittenden 3,NA,State Representative
77186,2000 State Representative General Election Chittenden 4 District,2000,General,Chittenden 4,NA,State Representative
77187,2000 State Representative General Election Chittenden 5-1 District,2000,General,Chittenden 5-1,NA,State Representative
77188,2000 State Representative General Election Chittenden 5-2 District,2000,General,Chittenden 5-2,NA,State Representative
77189,2000 State Representative General Election Chittenden 5-3 District,2000,General,Chittenden 5-3,NA,State Representative
77190,2000 State Representative General Election Chittenden 5-4 District,2000,General,Chittenden 5-4,NA,State Representative
77191,2000 State Representative General Election Chittenden 6 District,2000,General,Chittenden 6,NA,State Representative
77192,2000 State Representative General Election Chittenden 7-1 District,2000,General,Chittenden 7-1,NA,State Representative
77193,2000 State Representative General Election Chittenden 7-2 District,2000,General,Chittenden 7-2,NA,State Representative
77194,2000 State Representative General Election Chittenden 7-3 District,2000,General,Chittenden 7-3,NA,State Representative
77195,2000 State Representative General Election Chittenden 7-4 District,2000,General,Chittenden 7-4,NA,State Representative
77196,2000 State Representative General Election Chittenden 7-5 District,2000,General,Chittenden 7-5,NA,State Representative
77197,2000 State Representative General Election Chittenden 7-6 District,2000,General,Chittenden 7-6,NA,State Representative
77198,2000 State Representative General Election Chittenden 7-7 District,2000,General,Chittenden 7-7,NA,State Representative
77199,2000 State Representative General Election Chittenden 7-8 District,2000,General,Chittenden 7-8,NA,State Representative
77200,2000 State Representative General Election Chittenden 7-9 District,2000,General,Chittenden 7-9,NA,State Representative
77201,2000 State Representative General Election Chittenden 7-10 District,2000,General,Chittenden 7-10,NA,State Representative
77202,2000 State Representative General Election Essex-Caledonia 1 District,2000,General,Essex-Caledonia 1,NA,State Representative
77203,2000 State Representative General Election Essex-Caledonia 2 District,2000,General,Essex-Caledonia 2,NA,State Representative
77204,2000 State Representative General Election Franklin 1 District,2000,General,Franklin 1,NA,State Representative
77205,2000 State Representative General Election Franklin 2 District,2000,General,Franklin 2,NA,State Representative
77206,2000 State Representative General Election Franklin 3-1 District,2000,General,Franklin 3-1,NA,State Representative
77207,2000 State Representative General Election Franklin 3-2 District,2000,General,Franklin 3-2,NA,State Representative
77208,2000 State Representative General Election Franklin 4 District,2000,General,Franklin 4,NA,State Representative
77209,2000 State Representative General Election Franklin 5-1 District,2000,General,Franklin 5-1,NA,State Representative
77210,2000 State Representative General Election Franklin 5-2 District,2000,General,Franklin 5-2,NA,State Representative
77211,2000 State Representative General Election Franklin-Grand Isle 1 District,2000,General,Franklin-Grand Isle 1,NA,State Representative
77212,2000 State Representative General Election Grand Isle 1 District,2000,General,Grand Isle 1,NA,State Representative
77213,2000 State Representative General Election Lamoille 1 District,2000,General,Lamoille 1,NA,State Representative
77214,2000 State Representative General Election Lamoille 2-1 District,2000,General,Lamoille 2-1,NA,State Representative
77215,2000 State Representative General Election Lamoille 2-2 District,2000,General,Lamoille 2-2,NA,State Representative
77216,2000 State Representative General Election Lamoille 3 District,2000,General,Lamoille 3,NA,State Representative
77217,2000 State Representative General Election Orange 1 District,2000,General,Orange 1,NA,State Representative
77218,2000 State Representative General Election Orange 2 District,2000,General,Orange 2,NA,State Representative
77219,2000 State Representative General Election Orange 3 District,2000,General,Orange 3,NA,State Representative
77220,2000 State Representative General Election Orange 4 District,2000,General,Orange 4,NA,State Representative
77221,2000 State Representative General Election Orange-Caledonia 1 District,2000,General,Orange-Caledonia 1,NA,State Representative
77222,2000 State Representative General Election Orleans 1 District,2000,General,Orleans 1,NA,State Representative
77223,2000 State Representative General Election Orleans 2 District,2000,General,Orleans 2,NA,State Representative
77224,2000 State Representative General Election Orleans-Caledonia 1 District,2000,General,Orleans-Caledonia 1,NA,State Representative
77225,2000 State Representative General Election Orleans-Franklin 1 District,2000,General,Orleans-Franklin 1,NA,State Representative
77226,2000 State Representative General Election Rutland 1 District,2000,General,Rutland 1,NA,State Representative
77227,2000 State Representative General Election Rutland 2 District,2000,General,Rutland 2,NA,State Representative
77228,2000 State Representative General Election Rutland 3 District,2000,General,Rutland 3,NA,State Representative
77229,2000 State Representative General Election Rutland 4 District,2000,General,Rutland 4,NA,State Representative
77230,2000 State Representative General Election Rutland 5 District,2000,General,Rutland 5,NA,State Representative
77231,2000 State Representative General Election Rutland 6-1 District,2000,General,Rutland 6-1,NA,State Representative
77232,2000 State Representative General Election Rutland 6-2 District,2000,General,Rutland 6-2,NA,State Representative
77233,2000 State Representative General Election Rutland 6-3 District,2000,General,Rutland 6-3,NA,State Representative
77234,2000 State Representative General Election Rutland 6-4 District,2000,General,Rutland 6-4,NA,State Representative
77235,2000 State Representative General Election Rutland 7 District,2000,General,Rutland 7,NA,State Representative
77236,2000 State Representative General Election Rutland-Benington 1 District,2000,General,Rutland-Benington 1,NA,State Representative
77237,2000 State Representative General Election Rutland-Windsor 1 District,2000,General,Rutland-Windsor 1,NA,State Representative
77238,2000 State Representative General Election Washington 1 District,2000,General,Washington 1,NA,State Representative
77239,2000 State Representative General Election Washington 2 District,2000,General,Washington 2,NA,State Representative
77240,2000 State Representative General Election Washington 3 District,2000,General,Washington 3,NA,State Representative
77241,2000 State Representative General Election Washington 4-1 District,2000,General,Washington 4-1,NA,State Representative
77242,2000 State Representative General Election Washington 4-2 District,2000,General,Washington 4-2,NA,State Representative
77243,2000 State Representative General Election Washington 5 District,2000,General,Washington 5,NA,State Representative
77244,2000 State Representative General Election Washington-Addison 1 District,2000,General,Washington-Addison 1,NA,State Representative
77245,2000 State Representative General Election Washington-Chittenden 1 District,2000,General,Washington-Chittenden 1,NA,State Representative
77246,2000 State Representative General Election Washington-Lamoille 1-1 District,2000,General,Washington-Lamoille 1-1,NA,State Representative
77247,2000 State Representative General Election Windham 1 District,2000,General,Windham 1,NA,State Representative
77248,2000 State Representative General Election Windham 2-1 District,2000,General,Windham 2-1,NA,State Representative
77249,2000 State Representative General Election Windham 2-2 District,2000,General,Windham 2-2,NA,State Representative
77250,2000 State Representative General Election Windham 2-3 District,2000,General,Windham 2-3,NA,State Representative
77251,2000 State Representative General Election Windham 3 District,2000,General,Windham 3,NA,State Representative
77252,2000 State Representative General Election Windham 4 District,2000,General,Windham 4,NA,State Representative
77253,2000 State Representative General Election Windham 5 District,2000,General,Windham 5,NA,State Representative
77254,2000 State Representative General Election Windham-Bennington 1 District,2000,General,Windham-Bennington 1,NA,State Representative
77255,2000 State Representative General Election Windsor 1 District,2000,General,Windsor 1,NA,State Representative
77256,2000 State Representative General Election Windsor 2-1 District,2000,General,Windsor 2-1,NA,State Representative
77257,2000 State Representative General Election Windsor 2-2 District,2000,General,Windsor 2-2,NA,State Representative
77258,2000 State Representative General Election Windsor 2-3 District,2000,General,Windsor 2-3,NA,State Representative
77259,2000 State Representative General Election Windsor 3 District,2000,General,Windsor 3,NA,State Representative
77260,2000 State Representative General Election Windsor 4 District,2000,General,Windsor 4,NA,State Representative
77261,2000 State Representative General Election Windsor 5 District,2000,General,Windsor 5,NA,State Representative
77262,2000 State Representative General Election Windsor 6 District,2000,General,Windsor 6,NA,State Representative
77263,2000 State Representative General Election Windsor-Orange 1 District,2000,General,Windsor-Orange 1,NA,State Representative
77264,2000 State Representative General Election Windsor-Rutland 1 District,2000,General,Windsor-Rutland 1,NA,State Representative
77265,2000 State Representative General Election Windsor-Rutland 2 District,2000,General,Windsor-Rutland 2,NA,State Representative
77266,2000 State Representative General Election Windsor-Windham 1-1 District,2000,General,Windsor-Windham 1-1,NA,State Representative
77270,1988 State Senator General Election Addison District,1988,General,Addison,NA,State Senator
77271,1988 State Senator General Election Bennington District,1988,General,Bennington,NA,State Senator
77272,1988 State Senator General Election Caledonia District,1988,General,Caledonia,NA,State Senator
77273,1988 State Senator General Election Chittenden District,1988,General,Chittenden,NA,State Senator
77274,1988 State Senator General Election Essex-Orleans District,1988,General,Essex-Orleans,NA,State Senator
